arranged_timestamp,longitude,latitude,altimeter,mag_x,mag_y,mag_z,screen,microphone_l,microphone_r
2017-12-01T14:30:47Z,121.4370846,31.02813014,102.9214325,-12.78791809,-30.42387962,-14.68305969,90,-15.78085,-15.78085
2017-12-01T14:30:48Z,121.4373649,31.02813226,102.9214325,-12.78791809,-30.42387962,-14.68305969,90,-15.78085,-15.78085
2017-12-01T14:30:49Z,121.4373649,31.02813226,102.9220123,-18.69610596,-27.59815979,-17.16638184,90,-16.53289,-16.53289
2017-12-01T14:30:50Z,121.4373649,31.02813226,102.9225998,1.990447998,-32.23927307,-31.11526489,90,-13.83357,-13.83357
2017-12-01T14:30:51Z,121.4373649,31.02813226,102.9237137,-2.731781006,-29.60839844,-32.9989624,90,-19.69584,-19.69584
2017-12-01T14:30:52Z,121.4373706,31.02811659,102.9241562,2.741470337,-29.21664429,-33.69778442,90,-16.86017,-16.86017
2017-12-01T14:30:53Z,121.4373734,31.02810653,102.9244919,1.574554443,-25.32655525,-36.02786255,90,-10.0596,-10.0596
2017-12-01T14:30:54Z,121.4373733,31.0280971,102.9245453,-1.712814331,-25.84849358,-35.92715454,90,-11.204,-11.204
2017-12-01T14:30:55Z,121.4373721,31.02809035,102.9248581,-0.718643188,-26.03812218,-36.84255981,90,-6.446908,-6.446908
2017-12-01T14:30:56Z,121.4373724,31.0280844,102.9249344,-1.887954712,-28.39341354,-34.23532104,90,-14.80609,-14.80609
2017-12-01T14:30:57Z,121.4373741,31.02807967,102.9250488,2.768615723,-26.29134369,-35.94787598,90,-13.22196,-13.22196
2017-12-01T14:30:58Z,121.4373783,31.0280725,102.9250488,3.010452271,-27.38837814,-34.87786865,90,-13.83482,-13.83482
2017-12-01T14:30:59Z,121.4373816,31.02806445,102.9253006,-6.842208862,-29.20364952,-33.47167969,90,-13.59029,-13.59029
2017-12-01T14:31:00Z,121.437385,31.02805787,102.9252548,-0.654891968,-32.99341202,-31.70529175,90,-7.813093,-7.813093
