arranged_timestamp,longitude,latitude,altimeter,mag_x,mag_y,mag_z,screen,microphone_l,microphone_r
2017-12-01T14:30:03Z,121.4371232,31.0279427,102.931015,-32.55307007,-34.5632782,-4.90737915,61,-4.429191,-4.429191
2017-12-01T14:30:04Z,121.4372968,31.02834814,102.931015,-32.55307007,-34.5632782,-4.90737915,61,-4.429191,-4.429191
2017-12-01T14:30:05Z,121.4372169,31.028152,102.9318542,-33.89797974,-33.45968628,0.745391846,61,-16.68933,-16.68933
2017-12-01T14:30:06Z,121.4372169,31.028152,102.9327011,-33.70835876,-33.0019989,-3.658050537,61,-11.11848,-11.11848
2017-12-01T14:30:07Z,121.4372669,31.0282059,102.9340897,-34.04904175,-33.07815552,-1.002288818,61,-19.67833,-19.67833
2017-12-01T14:30:08Z,121.4372669,31.0282059,102.9350357,-32.5500946,-34.11018372,1.185241699,61,-12.3193,-12.3193
2017-12-01T14:30:09Z,121.4373216,31.02822421,102.9355927,-33.58477783,-33.02967834,-0.158721924,61,-11.71928,-11.71928
2017-12-01T14:30:10Z,121.4373216,31.02822421,102.9356003,-34.36463928,-32.18449402,-2.454345703,61,-17.29207,-17.29207
2017-12-01T14:30:11Z,121.4373216,31.02822421,102.9358902,-32.64544678,-32.85340881,-7.926818848,61,-14.63525,-14.63525
2017-12-01T14:30:12Z,121.4373216,31.02822421,102.9362717,-32.41368103,-34.26498413,-1.094268799,61,-17.35722,-17.35722
2017-12-01T14:30:13Z,121.4373704,31.02821114,102.9367371,-34.02261353,-32.54220581,-2.704223633,61,-22.36336,-22.36336
2017-12-01T14:30:14Z,121.4373758,31.02820225,102.9372025,-34.45716858,-32.25166321,0.8984375,61,-13.4311,-13.4311
2017-12-01T14:30:15Z,121.4373789,31.02819073,102.9378204,-35.63020325,-31.05543518,3.881011963,61,-13.95775,-13.95775
2017-12-01T14:30:16Z,121.4373824,31.02818012,102.9382248,-35.8543396,-28.06518555,12.34176636,61,-9.670694,-9.670694
2017-12-01T14:30:17Z,121.4373854,31.02817036,102.9384995,-38.15748596,-25.30406189,12.87533569,60,-7.017127,-7.017127
2017-12-01T14:30:18Z,121.4373847,31.02815561,102.9385834,-37.95605469,-25.01264954,13.97573853,58,-7.715156,-7.715156
2017-12-01T14:30:19Z,121.4373913,31.02814571,102.9386673,-40.48240662,-19.37199402,15.70251465,56,-14.19073,-14.19073
2017-12-01T14:30:20Z,121.4373975,31.02813549,102.9387436,-38.63072205,-21.70478821,17.40585327,54,-15.67028,-15.67028
2017-12-01T14:30:21Z,121.4373992,31.02812455,102.9386673,-43.89555359,-18.69421387,7.24118042,52,-5.84583,-5.84583
2017-12-01T14:30:22Z,121.4373985,31.02811001,102.9384155,-39.84590149,-27.0712738,-1.532928467,51,-9.746782,-9.746782
2017-12-01T14:30:23Z,121.4373957,31.0280958,102.9382706,-37.58839417,-29.43748474,5.862182617,51,-7.018732,-7.018732
2017-12-01T14:30:24Z,121.4373968,31.02808604,102.9376221,-38.50109863,-27.75172424,7.211547852,51,-15.37792,-15.37792
2017-12-01T14:30:25Z,121.4374001,31.02807455,102.9370651,-36.24487305,-30.45263672,6.829681396,49,-15.07312,-15.07312
2017-12-01T14:30:26Z,121.4374024,31.02806579,102.936142,-36.93496704,-29.088974,7.482696533,47,-18.71316,-18.71316
2017-12-01T14:30:27Z,121.4374017,31.02805536,102.9357147,-36.33351135,-27.21653748,12.69876099,45,-12.48195,-12.48195
2017-12-01T14:30:28Z,121.4374028,31.02804207,102.935112,-38.52845764,-22.94107056,13.62640381,43,-12.53003,-12.53003
2017-12-01T14:30:29Z,121.4374094,31.02803122,102.9349594,-35.63739014,-29.57539368,8.679870605,41,-18.6601,-18.6601
2017-12-01T14:30:30Z,121.4374159,31.02802292,102.9349213,-36.65203857,-28.88079834,6.888122559,40,-9.796885,-9.796885
2017-12-01T14:30:31Z,121.4374178,31.02801559,102.9347,-37.32351685,-28.63691711,7.57321167,40,-12.09402,-12.09402
2017-12-01T14:30:32Z,121.437421,31.02800603,102.9339447,-37.99081421,-26.60980225,10.7244873,40,-3.727636,-3.727636
2017-12-01T14:30:33Z,121.4374248,31.02799765,102.9335709,-38.1700592,-27.71998596,6.887664795,40,-10.62804,-10.62804
2017-12-01T14:30:34Z,121.4374286,31.02799015,102.9329605,-37.84815979,-23.73451233,16.35327148,40,-16.20083,-16.20083
2017-12-01T14:30:35Z,121.4374327,31.02798072,102.9323883,-37.87831116,-17.08502197,21.98223877,40,-18.27884,-18.27884
2017-12-01T14:30:36Z,121.4374384,31.02797347,102.9319229,-38.114151,-8.432434082,26.16537476,40,-15.80855,-15.80855
2017-12-01T14:30:37Z,121.4374487,31.02796617,102.9317627,-34.62139893,-4.462814331,30.18307495,40,-12.10493,-12.10493
2017-12-01T14:30:38Z,121.4374633,31.02796454,102.9313126,-35.27973938,1.603637695,29.53894043,40,-16.45731,-16.45731
2017-12-01T14:30:39Z,121.4374764,31.02796659,102.9310608,-37.33876038,1.68687439,27.43981934,40,-14.80344,-14.80344
2017-12-01T14:30:40Z,121.437491,31.02796622,102.9303207,-37.00164795,7.115890503,27.39529419,40,-10.12213,-10.12213
2017-12-01T14:30:41Z,121.4375044,31.0279632,102.9295807,-34.52471924,-8.520889282,29.75506592,40,-12.14856,-12.14856
2017-12-01T14:30:42Z,121.4375119,31.02796027,102.9279327,-39.43005371,-4.350296021,25.36746216,40,-15.56215,-15.56215
2017-12-01T14:30:43Z,121.4375167,31.02795767,102.9270706,-37.39135742,-7.483917236,27.47979736,40,-4.039029,-4.039029
2017-12-01T14:30:44Z,121.4375235,31.027951,102.9265289,-36.99226379,-15.13008118,24.43252563,40,-8.644432,-8.644432
2017-12-01T14:30:45Z,121.4375303,31.0279417,102.9256287,-38.18389893,-18.94732666,19.41989136,40,-10.87355,-10.87355
2017-12-01T14:30:46Z,121.4375291,31.02793927,102.9250946,-38.709198,-22.23278809,14.16998291,40,-13.94531,-13.94531
2017-12-01T14:30:47Z,121.4375308,31.02793097,102.9247513,-37.13342285,-23.58270264,15.56536865,40,-5.492317,-5.492317
2017-12-01T14:30:48Z,121.4375325,31.02791861,102.9242172,-38.29385376,-21.81871033,16.73257446,40,-14.80423,-14.80423
2017-12-01T14:30:49Z,121.4375371,31.02790842,102.9237747,-38.51663208,-20.07618713,20.01742554,40,-11.74656,-11.74656
2017-12-01T14:30:50Z,121.4375416,31.02790063,102.9234772,-37.77159119,-15.98747253,24.18780518,40,-9.429841,-9.429841
2017-12-01T14:30:51Z,121.4375462,31.02789543,102.9229736,-35.35432434,-8.322601318,29.44186401,40,-10.68981,-10.68981
2017-12-01T14:30:52Z,121.4375543,31.02789032,102.9227905,-38.39178467,-8.458786011,26.18435669,40,-15.20552,-15.20552
2017-12-01T14:30:53Z,121.4375622,31.02788701,102.9225693,-37.07150269,14.75538635,25.60641479,40,-9.226743,-9.226743
2017-12-01T14:30:54Z,121.43757,31.02788416,102.9223328,-35.48648071,-10.89996338,27.93719482,40,-22.51794,-22.51794
2017-12-01T14:30:55Z,121.4375763,31.02788085,102.9223328,-38.67304993,-6.409851074,25.29046631,40,-17.61827,-17.61827
2017-12-01T14:30:56Z,121.437582,31.02787569,102.9226227,-35.88609314,2.890609741,29.40707397,40,-9.559191,-9.559191
2017-12-01T14:30:57Z,121.4375882,31.02787129,102.9227753,-33.46226501,25.81575012,21.64331055,40,-15.1634,-15.1634
2017-12-01T14:30:58Z,121.4375928,31.02786953,102.9228897,-34.15911865,25.6053009,21.67553711,40,-15.08296,-15.08296
2017-12-01T14:30:59Z,121.4375982,31.0278692,102.9230194,-36.15458679,1.286376953,29.35507202,40,-16.44584,-16.44584
2017-12-01T14:31:00Z,121.4376042,31.0278645,102.9231415,-37.09130859,0.082229614,28.42514038,40,-14.73545,-14.73545
2017-12-01T14:31:01Z,121.4376117,31.02785729,102.9230957,-37.55909729,-11.31846619,25.24230957,40,-14.75914,-14.75914
2017-12-01T14:31:02Z,121.4376173,31.02785038,102.9231415,-38.40631104,-14.76231384,22.55310059,40,-13.69221,-13.69221
2017-12-01T14:31:03Z,121.437622,31.02784673,102.9230957,-37.7950592,-11.18223572,25.12884521,40,-6.007894,-6.007894
2017-12-01T14:31:04Z,121.4376279,31.02784309,102.9230347,-37.72624207,-6.170608521,26.70898438,40,-8.991022,-8.991022
2017-12-01T14:31:05Z,121.4376361,31.02783768,102.9228592,-38.2396698,-2.882247925,27.18252563,40,-5.685026,-5.685026
2017-12-01T14:31:06Z,121.437643,31.0278337,102.9228592,-32.54725647,31.89823914,18.38275146,40,-1.230562,-1.230562
2017-12-01T14:31:07Z,121.437643,31.0278337,102.9229965,-30.58424377,26.91767883,25.80288696,40,-8.475188,-8.475188
2017-12-01T14:31:08Z,121.4376548,31.02783345,102.9229965,-35.25234985,16.15081787,26.42666626,40,-9.145942,-9.145942
