arranged_timestamp,longitude,latitude,altimeter,mag_x,mag_y,mag_z,screen,microphone_l,microphone_r
2017-12-01T14:30:03Z,121.4373884,31.02819165,102.9116287,-23.08753967,-30.87776756,-21.96136475,95,-0.09999937,-0.09999937
2017-12-01T14:30:04Z,121.4368412,31.02784555,102.9116287,-23.08753967,-30.87776756,-21.96136475,95,-0.09999937,-0.09999937
2017-12-01T14:30:05Z,,,102.9120636,-24.8183136,-26.94198799,-24.76004028,95,-0.09999833,-0.09999833
2017-12-01T14:30:06Z,121.4374043,31.02798828,102.9121552,-18.26848602,-28.65270615,-27.12173462,95,-14.96556,-14.96556
2017-12-01T14:30:07Z,121.4374563,31.02813614,102.9124985,-3.465698242,-37.04164124,-23.11346436,95,-9.729328,-9.729328
2017-12-01T14:30:08Z,121.4374198,31.02814576,102.9125061,-9.723312378,-33.82280731,-26.01818848,95,-13.63854,-13.63854
2017-12-01T14:30:09Z,121.4374054,31.02815244,102.9125137,-1.292495728,-36.31997299,-23.80566406,95,-11.15608,-11.15608
2017-12-01T14:30:10Z,121.437417,31.02814304,102.9127274,3.484817505,-34.13195038,-27.11135864,95,-11.756,-11.756
2017-12-01T14:30:11Z,121.4374161,31.02812456,102.9128647,3.854125977,-32.98062515,-28.51705933,95,-13.93577,-13.93577
2017-12-01T14:30:12Z,121.4374328,31.02811578,102.9130325,1.607955933,-35.46405029,-26.20391846,95,-10.76302,-10.76302
2017-12-01T14:30:13Z,121.4374041,31.02814557,102.913353,0.286468506,-35.73814774,-25.64831543,95,-22.61586,-22.61586
2017-12-01T14:30:14Z,121.437406,31.02814177,102.9138947,3.732192993,-35.81048584,-25.88064575,95,-18.91684,-18.91684
2017-12-01T14:30:15Z,121.4374144,31.02814218,102.9144211,3.46496582,-33.69103622,-28.6031189,95,-14.37875,-14.37875
2017-12-01T14:30:16Z,121.4374243,31.02814325,102.9148712,0.326797485,-35.61903,-27.29769897,95,-11.83315,-11.83315
2017-12-01T14:30:17Z,121.4374199,31.02813371,102.9152374,0.95741272,-34.08152771,-28.81091309,95,-20.48502,-20.48502
2017-12-01T14:30:18Z,121.4374279,31.02813198,102.9152374,1.08215332,-34.93498993,-27.96353149,95,-12.15482,-12.15482
2017-12-01T14:30:19Z,121.4374332,31.02812402,102.9151764,2.491455078,-36.2205162,-26.04623413,95,-18.84216,-18.84216
2017-12-01T14:30:20Z,121.4374273,31.02811195,102.9146423,-4.585922241,-34.45490265,-27.90890503,95,-10.64184,-10.64184
2017-12-01T14:30:21Z,121.4374307,31.02809012,102.913269,-13.14559937,-34.58941269,-25.10958862,95,-16.00006,-16.00006
2017-12-01T14:30:22Z,121.4374448,31.02807073,102.9125595,-8.552124023,-32.80610657,-29.08532715,95,-21.01557,-21.01557
2017-12-01T14:30:23Z,121.4374536,31.02806617,102.9119034,-0.521942139,-36.25646973,-25.71807861,95,-20.9838,-20.9838
2017-12-01T14:30:24Z,121.4374628,31.02805556,102.9112778,0.225891113,-34.31404114,-27.6807251,94,-12.39846,-12.39846
2017-12-01T14:30:25Z,121.4374595,31.02803894,102.9106064,-6.658096313,-35.96809387,-24.96136475,91,-15.18485,-15.18485
2017-12-01T14:30:26Z,121.4374625,31.02802964,102.9100342,-10.19148254,-32.35526657,-27.39093018,89,-20.87335,-20.87335
