arranged_timestamp,longitude,latitude,altimeter,mag_x,mag_y,mag_z,screen,microphone_l,microphone_r
2017-12-01T14:30:47Z,121.4377012,31.02819035,103.0330658,-12.48636627,-32.4650383,-30.1819458,100,-13.25644,-13.25644
2017-12-01T14:30:48Z,,,103.0329361,-12.63334656,-32.36894989,-30.56628418,100,-13.43741,-13.43741
2017-12-01T14:30:49Z,121.4373566,31.02819035,103.0330658,-12.48636627,-32.4650383,-30.1819458,100,-13.25644,-13.25644
2017-12-01T14:30:50Z,121.4373582,31.02818079,103.0331955,-11.55819702,-32.76517487,-30.38705444,100,-18.18467,-18.18467
2017-12-01T14:30:51Z,121.4373612,31.02816927,103.0331955,-8.476364136,-33.16348267,-31.40606689,100,-14.20761,-14.20761
2017-12-01T14:30:52Z,121.437366,31.02815816,103.0333099,-9.855140686,-32.09901047,-32.68109131,100,-14.75727,-14.75727
2017-12-01T14:30:53Z,121.43737,31.02814592,103.0335464,-8.023895264,-34.45384598,-30.69320679,100,-10.41031,-10.41031
2017-12-01T14:30:54Z,121.4373747,31.02813289,103.0335464,-5.365737915,-33.84393692,-32.48956299,100,-18.21221,-18.21221
2017-12-01T14:30:55Z,121.4373789,31.02812254,103.0332184,-3.82459259,-34.95531082,-31.64596558,100,-9.221924,-9.221924
2017-12-01T14:30:56Z,121.4373832,31.02811462,103.0331268,-5.117355347,-35.66347885,-30.66165161,100,-13.68016,-13.68016
2017-12-01T14:30:57Z,121.4373871,31.02810666,103.0331268,-3.668907166,-32.85988617,-34.11914063,97,-11.30787,-11.30787
2017-12-01T14:30:58Z,121.437393,31.02809773,103.0325623,-4.969818115,-33.22677612,-33.05337524,94,-19.76023,-19.76023
2017-12-01T14:30:59Z,121.4374015,31.02809006,103.0325623,-4.871604919,-33.97598648,-32.22064209,95,-5.104998,-5.104998
2017-12-01T14:31:00Z,121.4374092,31.02808256,103.0325623,-6.967933655,-34.01200485,-31.30325317,96,-8.824845,-8.824845
2017-12-01T14:31:01Z,121.4374155,31.02807405,103.0320587,-9.473426819,-32.74279785,-32.26925659,97,-15.30148,-15.30148
2017-12-01T14:31:02Z,121.4374208,31.02806395,103.0320587,-6.100669861,-32.05616379,-33.5647583,95,-2.137739,-2.137739
2017-12-01T14:31:03Z,121.4374257,31.02805309,103.0320587,-7.243843079,-31.38520813,-33.87512207,91,-4.449474,-4.449474
2017-12-01T14:31:04Z,121.43743,31.02804308,103.031929,-8.539993286,-31.57889557,-33.22567749,88,-0.8132679,-0.8132679
2017-12-01T14:31:05Z,121.4374341,31.02803315,103.0318146,-19.31298065,-29.04396439,-31.15054321,85,-5.736584,-5.736584
2017-12-01T14:31:06Z,121.4374381,31.02802485,103.0317001,-14.23741913,-29.67734146,-32.80618286,82,-10.19482,-10.19482
2017-12-01T14:31:07Z,121.4374445,31.02801751,103.0313492,-12.54192352,-30.14116287,-33.55279541,78,-5.678875,-5.678875
2017-12-01T14:31:08Z,121.4374514,31.02800666,103.0311203,-15.86813354,-30.35663605,-32.62026978,78,-11.88029,-11.88029
2017-12-01T14:31:09Z,121.4374588,31.02799413,103.0303268,-13.48131561,-31.3183403,-32.69396973,83,-21.35403,-21.35403
2017-12-01T14:31:10Z,121.4374663,31.02798411,103.0298843,-16.57534027,-29.954422,-32.05236816,88,-9.036206,-9.036206
2017-12-01T14:31:11Z,121.4374737,31.02797271,103.0297165,-19.5395813,-30.30977631,-30.13851929,93,-20.61543,-20.61543
2017-12-01T14:31:12Z,121.4374817,31.0279619,103.0286407,-23.16252136,-26.94719696,-29.90402222,98,-9.580955,-9.580955
2017-12-01T14:31:13Z,121.4374864,31.02795406,103.0281982,-27.4360199,-22.944664,-29.10626221,100,-15.87489,-15.87489
2017-12-01T14:31:14Z,121.437493,31.02794928,103.0279465,-26.97684479,-21.79293823,-30.34533691,100,-7.674612,-7.674612
2017-12-01T14:31:15Z,121.4375011,31.02794677,103.027298,-30.82485962,-19.72668076,-27.76095581,100,-10.38554,-10.38554
2017-12-01T14:31:16Z,121.4375147,31.02794384,103.0267334,-32.64214325,-17.03647614,-29.14077759,100,-5.688598,-5.688598
2017-12-01T14:31:17Z,121.4375379,31.0279342,103.0262909,-30.67854309,-18.72641373,-30.41293335,100,-12.69619,-12.69619
2017-12-01T14:31:18Z,121.4375571,31.02792359,103.0261841,-29.82694244,-20.00269699,-30.43539429,100,-8.58075,-8.58075
2017-12-01T14:31:19Z,121.4375704,31.02791769,103.0256805,-32.68135834,-18.42817688,-27.98925781,100,-18.05449,-18.05449
2017-12-01T14:31:20Z,121.4375802,31.02791375,103.0256271,-33.57108307,-14.45420837,-29.58868408,100,-12.84229,-12.84229
2017-12-01T14:31:21Z,121.4375879,31.02791111,103.0250626,-34.50259399,-14.01906586,-29.21893311,100,-7.706944,-7.706944
2017-12-01T14:31:22Z,121.4375958,31.02790683,103.0239716,-34.23470306,-13.78786469,-30.77523804,100,-12.72245,-12.72245
2017-12-01T14:31:23Z,121.4376052,31.02789702,103.0228577,-34.24021912,-11.7146759,-31.58416748,100,-16.56322,-16.56322
2017-12-01T14:31:24Z,121.4376157,31.0278891,103.0221634,-34.31365204,-11.46810913,-31.33865356,100,-13.77698,-13.77698
2017-12-01T14:31:25Z,121.4376271,31.02788236,103.0216141,-34.01242828,-12.52298737,-31.20004272,100,-15.65115,-15.65115
2017-12-01T14:31:26Z,121.4376391,31.02787724,103.0213165,-34.06713104,-14.31152344,-29.95413208,100,-8.521444,-8.521444
2017-12-01T14:31:27Z,121.4376506,31.02787481,103.0206375,-30.49033356,-19.59447479,-31.33065796,100,-13.77854,-13.77854
2017-12-01T14:31:28Z,121.4376588,31.02787221,103.0201874,-32.63731384,-16.50462341,-30.67175293,100,-5.572974,-5.572974
2017-12-01T14:31:29Z,121.43767,31.02787288,103.0201874,-25.78118896,-23.32543564,-32.41897583,100,-16.50072,-16.50072
2017-12-01T14:31:30Z,121.4376849,31.02786987,103.0201874,-22.28830719,-25.60420227,-32.93746948,97,-10.51925,-10.51925
2017-12-01T14:31:31Z,121.4376982,31.02786433,103.0199661,-25.53188324,-24.79898453,-31.42636108,94,-7.138368,-7.138368
2017-12-01T14:31:32Z,121.4377092,31.02785826,103.0199661,-28.98206329,-22.08945084,-30.59188843,91,-6.906307,-6.906307
2017-12-01T14:31:33Z,121.4377181,31.02785302,103.0200119,-29.71685028,-17.87104416,-32.55377197,88,-5.849188,-5.849188
2017-12-01T14:31:34Z,121.4377242,31.02785004,103.0200272,-31.73944855,-16.12645721,-31.68713379,84,-15.32293,-15.32293
2017-12-01T14:31:35Z,121.4377284,31.02784883,103.0200272,-30.5109787,-19.84668732,-31.01431274,81,-9.508628,-9.508628
2017-12-01T14:31:36Z,121.4377303,31.027849,103.0206146,-34.61643982,-13.10453796,-29.9102478,78,-3.07417,-3.07417
2017-12-01T14:31:37Z,121.4377316,31.0278469,103.0212402,-32.52588654,-16.28530121,-30.56744385,74,-5.546981,-5.546981
2017-12-01T14:31:38Z,121.4377398,31.02784187,103.023262,-34.56033325,-15.99875641,-28.73217773,71,-3.874146,-3.874146
2017-12-01T14:31:39Z,121.4377515,31.02783651,103.0239639,-36.74930573,-2.063720703,-31.28161621,68,-16.86193,-16.86193
2017-12-01T14:31:40Z,121.4377629,31.02783219,103.0255203,-33.51224518,-14.98776245,-30.89071655,64,-15.28874,-15.28874
2017-12-01T14:31:41Z,121.4377693,31.0278319,103.0263824,-29.55384827,-22.88513184,-30.10473633,61,-24.6268,-24.6268
2017-12-01T14:31:42Z,121.4377723,31.02783336,103.0265579,-24.72214508,-28.07287598,-29.56726074,59,-17.25103,-17.25103
2017-12-01T14:31:43Z,121.4377756,31.02783483,103.0266647,-17.69703674,-32.99606323,-30.06848145,63,-22.71654,-22.71654
2017-12-01T14:31:44Z,121.4377829,31.02783185,103.0268631,-10.45653534,-34.3237114,-31.402771,70,-19.68913,-19.68913
2017-12-01T14:31:45Z,121.4377878,31.02782284,103.0268631,-10.43718719,-33.54866028,-32.14584351,80,-17.3365,-17.3365
2017-12-01T14:31:46Z,121.4377927,31.02781178,103.0260315,-7.409645081,-30.8458786,-35.01107788,89,-20.29921,-20.29921
2017-12-01T14:31:47Z,121.4377953,31.02780147,103.0260315,-14.58956909,-30.32851028,-33.64401245,97,-11.52794,-11.52794
2017-12-01T14:31:48Z,121.4377963,31.02779112,103.0262222,-8.763832092,-29.61762619,-35.47332764,100,-15.25308,-15.25308
2017-12-01T14:31:49Z,121.4377978,31.02778223,103.0262299,-13.84526825,-27.55320358,-35.82977295,100,-8.785512,-8.785512
2017-12-01T14:31:50Z,121.4377997,31.02777503,103.0266113,-13.17773438,-30.89601135,-33.06298828,100,-22.68554,-22.68554
2017-12-01T14:31:51Z,121.4378021,31.02776601,103.0274658,-9.837234497,-34.67063904,-30.62454224,100,-10.60824,-10.60824
2017-12-01T14:31:52Z,121.4378061,31.02775336,103.0289459,-13.34365082,-32.50421143,-31.49365234,100,-6.84606,-6.84606
2017-12-01T14:31:53Z,121.4378118,31.02774133,103.0298538,-16.59422302,-28.91975403,-33.41912842,100,-14.09069,-14.09069
2017-12-01T14:31:54Z,121.4378181,31.02773244,103.0305023,-17.41366577,-28.16140366,-34.01950073,100,-20.48852,-20.48852
2017-12-01T14:31:55Z,121.4378246,31.02772528,103.0314713,-19.13895416,-26.88123322,-33.72833252,100,-19.09132,-19.09132
2017-12-01T14:31:56Z,121.4378316,31.02771698,103.0319748,-16.50066376,-27.79027176,-34.44204712,100,-20.74883,-20.74883
2017-12-01T14:31:57Z,121.4378382,31.02770801,103.0327301,-18.43728638,-28.002491,-33.27978516,100,-13.50009,-13.50009
2017-12-01T14:31:58Z,121.4378451,31.02769883,103.0337677,-18.20106506,-29.13069916,-32.65246582,100,-14.61531,-14.61531
